Time ,BoardSN ,21SN ,MAC ,OBSCResult ,CheckResult ,UpgradeType ,VersionPkg,VersionPkgSize
"2025-12-16 10:29:42","AG24B1552398","2150088318AGQB003169","00E0-FC55-2398","0x0","0","UpgradeBin","","115403"
"2025-12-16 11:43:55","AG24B1552398","2150088318AGQB003169","00E0-FC55-2398","0x0","0","UpgradeBin","","115403"
